family,method,encoder,dict_learner,dict_learner_impl,implementation,dataset,dataset_id,atoms,classifier,source,n_seeds,status,macro_precision,macro_recall,macro_f1,macro_pr_auc,minority_precision,minority_recall,minority_f1,minority_pr_auc,accuracy,roc_auc,mcc,macro_f1_std,minority_f1_std,minority_pr_auc_std,mcc_std,roc_auc_std,threshold,fit_seconds,run_started,run_id
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,4096,LinearSVM,mccv,2,ok,0.715203,0.708023,0.707968,0.693216,0.453034,0.438967,0.438736,0.39654,0.956209,0.846546,0.420023,0.00979,0.014795,0.006333,0.020744,0.005127,,5575.05,20260831_015153,mc_cv_wl_fddl_gpu_nci_full_id33_atoms4096_20260831_015153_20260831_051308
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,4096,RandomForest,mccv,2,ok,0.72783,0.704891,0.713646,0.688801,0.478595,0.429577,0.448672,0.386956,0.958849,0.860525,0.430292,0.011475,0.019366,0.015221,0.026485,0.017734,,5575.05,20260831_015153,mc_cv_wl_fddl_gpu_nci_full_id33_atoms4096_20260831_015153_20260831_051308
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,128,LogisticRegression,artifact,1,ok,0.6072,0.6354,0.6193,0.5883,0.2426,0.3099,0.2722,0.192,0.9357,0.7871,0.241,,,,,,0.8037,,20260902_010357,wl_csfddl_gpu_nci_full_id33_atoms128_20260902_010357_20260902_010531
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,128,GradientBoosting,artifact,1,ok,0.6372,0.6912,0.6588,0.6308,0.298,0.4225,0.3495,0.2738,0.939,0.8113,0.3239,,,,,,0.6752,,20260902_010357,wl_csfddl_gpu_nci_full_id33_atoms128_20260902_010357_20260902_010531
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,128,LinearSVM,artifact,1,ok,0.6104,0.6217,0.6157,0.5871,0.25,0.277,0.2628,0.1898,0.9397,0.7842,0.2318,,,,,,0.1469,,20260902_010357,wl_csfddl_gpu_nci_full_id33_atoms128_20260902_010357_20260902_010531
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,128,RandomForest,artifact,1,ok,0.6571,0.7053,0.6774,0.6731,0.3369,0.446,0.3838,0.3575,0.9445,0.8283,0.3592,,,,,,0.28,,20260902_010357,wl_csfddl_gpu_nci_full_id33_atoms128_20260902_010357_20260902_010531
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,256,LogisticRegression,artifact,1,ok,0.6257,0.6263,0.626,0.5922,0.2804,0.2817,0.281,0.1989,0.9441,0.7946,0.252,,,,,,0.8372,,20260902_010018,wl_csfddl_gpu_nci_full_id33_atoms256_20260902_010018_20260902_010310
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,256,GradientBoosting,artifact,1,ok,0.6326,0.6546,0.6426,0.6036,0.292,0.3427,0.3153,0.2232,0.9423,0.7824,0.2864,,,,,,0.7003,,20260902_010018,wl_csfddl_gpu_nci_full_id33_atoms256_20260902_010018_20260902_010310
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,256,LinearSVM,artifact,1,ok,0.6348,0.6317,0.6332,0.5887,0.2981,0.2911,0.2945,0.1918,0.9459,0.7926,0.2664,,,,,,0.1536,,20260902_010018,wl_csfddl_gpu_nci_full_id33_atoms256_20260902_010018_20260902_010310
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,256,RandomForest,artifact,1,ok,0.6446,0.6883,0.663,0.6737,0.3132,0.4131,0.3563,0.3614,0.9421,0.8117,0.33,,,,,,0.28,,20260902_010018,wl_csfddl_gpu_nci_full_id33_atoms256_20260902_010018_20260902_010310
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,512,LogisticRegression,artifact,1,ok,0.6597,0.6691,0.6643,0.6232,0.3451,0.3662,0.3554,0.2612,0.9485,0.8038,0.3287,,,,,,0.8304,,20260902_010619,wl_csfddl_gpu_nci_full_id33_atoms512_20260902_010619_20260902_011202
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,512,GradientBoosting,artifact,1,ok,0.6279,0.6789,0.6482,0.6289,0.2805,0.3991,0.3295,0.272,0.937,0.7989,0.3026,,,,,,0.661,,20260902_010619,wl_csfddl_gpu_nci_full_id33_atoms512_20260902_010619_20260902_011202
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,512,LinearSVM,artifact,1,ok,0.6412,0.6962,0.6632,0.625,0.3056,0.4319,0.358,0.2645,0.9399,0.8036,0.3328,,,,,,0.1312,,20260902_010619,wl_csfddl_gpu_nci_full_id33_atoms512_20260902_010619_20260902_011202
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,512,RandomForest,artifact,1,ok,0.6748,0.7231,0.6955,0.6774,0.3709,0.4789,0.418,0.3676,0.9483,0.8244,0.3949,,,,,,0.29,,20260902_010619,wl_csfddl_gpu_nci_full_id33_atoms512_20260902_010619_20260902_011202
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,1024,LogisticRegression,artifact,1,ok,0.6432,0.7114,0.6693,0.6256,0.3084,0.4648,0.3708,0.268,0.9388,0.7949,0.3479,,,,,,0.7629,,20260902_011233,wl_csfddl_gpu_nci_full_id33_atoms1024_20260902_011233_20260902_012538
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,1024,GradientBoosting,artifact,1,ok,0.659,0.6711,0.6648,0.6289,0.3435,0.3709,0.3567,0.2715,0.9481,0.809,0.3299,,,,,,0.6943,,20260902_011233,wl_csfddl_gpu_nci_full_id33_atoms1024_20260902_011233_20260902_012538
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,1024,LinearSVM,artifact,1,ok,0.6418,0.6878,0.6609,0.6313,0.3077,0.4131,0.3527,0.2795,0.9412,0.7944,0.3264,,,,,,0.1365,,20260902_011233,wl_csfddl_gpu_nci_full_id33_atoms1024_20260902_011233_20260902_012538
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,1024,RandomForest,artifact,1,ok,0.6987,0.6951,0.6969,0.6691,0.4211,0.4131,0.4171,0.3513,0.9552,0.8174,0.3938,,,,,,0.3494,,20260902_011233,wl_csfddl_gpu_nci_full_id33_atoms1024_20260902_011233_20260902_012538
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,2048,LogisticRegression,artifact,1,ok,0.6822,0.6715,0.6767,0.6282,0.39,0.3662,0.3777,0.2726,0.9532,0.7926,0.3536,,,,,,0.8635,,20260902_012635,wl_csfddl_gpu_nci_full_id33_atoms2048_20260902_012635_20260902_020138
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,2048,GradientBoosting,artifact,1,ok,0.6782,0.658,0.6674,0.6555,0.383,0.338,0.3591,0.3252,0.9532,0.8076,0.3356,,,,,,0.7027,,20260902_012635,wl_csfddl_gpu_nci_full_id33_atoms2048_20260902_012635_20260902_020138
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,2048,LinearSVM,artifact,1,ok,0.6741,0.6881,0.6808,0.6314,0.3723,0.4038,0.3874,0.2785,0.9505,0.7951,0.3619,,,,,,0.1569,,20260902_012635,wl_csfddl_gpu_nci_full_id33_atoms2048_20260902_012635_20260902_020138
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,2048,RandomForest,artifact,1,ok,0.6887,0.6853,0.687,0.6801,0.4019,0.3944,0.3981,0.3732,0.9538,0.8217,0.3741,,,,,,0.34,,20260902_012635,wl_csfddl_gpu_nci_full_id33_atoms2048_20260902_012635_20260902_020138
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,4096,LogisticRegression,artifact,1,ok,0.6755,0.6905,0.6826,0.6312,0.375,0.4085,0.391,0.279,0.9507,0.794,0.3657,,,,,,0.8374,,20260902_030908,wl_csfddl_gpu_nci_full_id33_atoms4096_20260902_030908_20260902_045046
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,4096,GradientBoosting,artifact,1,ok,0.6629,0.6673,0.6651,0.6397,0.3516,0.3615,0.3565,0.2949,0.9494,0.7969,0.3302,,,,,,0.6733,,20260902_030908,wl_csfddl_gpu_nci_full_id33_atoms4096_20260902_030908_20260902_045046
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,4096,LinearSVM,artifact,1,ok,0.7195,0.6746,0.6941,0.6373,0.4643,0.3662,0.4094,0.2903,0.959,0.7954,0.3915,,,,,,0.1943,,20260902_030908,wl_csfddl_gpu_nci_full_id33_atoms4096_20260902_030908_20260902_045046
pipeline,wl+csfddl,wl,csfddl,csfddl_gpu,wl_csfddl_gpu,nci_full,33,4096,RandomForest,artifact,1,ok,0.6907,0.6855,0.6881,0.6769,0.4058,0.3944,0.4,0.366,0.9541,0.8275,0.3762,,,,,,0.3593,,20260902_030908,wl_csfddl_gpu_nci_full_id33_atoms4096_20260902_030908_20260902_045046
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,128,LogisticRegression,artifact,1,ok,0.6705,0.6682,0.6693,0.6468,0.3667,0.3615,0.3641,0.3086,0.951,0.8069,0.3386,,,,,,0.8205,,20260830_224923,wl_frozen_ksvd_gpu_nci_full_id33_atoms128_20260830_224923_20260830_224949
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,128,GradientBoosting,artifact,1,ok,0.6355,0.674,0.6518,0.6427,0.296,0.385,0.3347,0.2992,0.9406,0.797,0.3071,,,,,,0.6584,,20260830_224923,wl_frozen_ksvd_gpu_nci_full_id33_atoms128_20260830_224923_20260830_224949
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,128,LinearSVM,artifact,1,ok,0.6461,0.6992,0.6677,0.6406,0.3153,0.4366,0.3661,0.2965,0.9414,0.8004,0.3412,,,,,,0.1207,,20260830_224923,wl_frozen_ksvd_gpu_nci_full_id33_atoms128_20260830_224923_20260830_224949
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,128,RandomForest,artifact,1,ok,0.6806,0.7304,0.7019,0.7019,0.3818,0.493,0.4303,0.4178,0.9494,0.8076,0.4079,,,,,,0.33,,20260830_224923,wl_frozen_ksvd_gpu_nci_full_id33_atoms128_20260830_224923_20260830_224949
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,256,LogisticRegression,artifact,1,ok,0.6818,0.7021,0.6913,0.6551,0.3866,0.4319,0.408,0.3249,0.9514,0.8106,0.3834,,,,,,0.8121,,20260830_225031,wl_frozen_ksvd_gpu_nci_full_id33_atoms256_20260830_225031_20260830_225100
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,256,GradientBoosting,artifact,1,ok,0.6589,0.6625,0.6607,0.6602,0.344,0.3521,0.348,0.3332,0.9488,0.8122,0.3214,,,,,,0.664,,20260830_225031,wl_frozen_ksvd_gpu_nci_full_id33_atoms256_20260830_225031_20260830_225100
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,256,LinearSVM,artifact,1,ok,0.677,0.6841,0.6804,0.6392,0.3784,0.3944,0.3862,0.2942,0.9514,0.8006,0.361,,,,,,0.1736,,20260830_225031,wl_frozen_ksvd_gpu_nci_full_id33_atoms256_20260830_225031_20260830_225100
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,256,RandomForest,artifact,1,ok,0.7294,0.7066,0.7173,0.7139,0.4817,0.4319,0.4554,0.4386,0.9599,0.8394,0.4354,,,,,,0.38,,20260830_225031,wl_frozen_ksvd_gpu_nci_full_id33_atoms256_20260830_225031_20260830_225100
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,512,LogisticRegression,artifact,1,ok,0.719,0.65,0.6772,0.6308,0.4653,0.3146,0.3754,0.2757,0.9594,0.8003,0.3625,,,,,,0.8559,,20260830_225125,wl_frozen_ksvd_gpu_nci_full_id33_atoms512_20260830_225125_20260830_225201
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,512,GradientBoosting,artifact,1,ok,0.6528,0.6618,0.6571,0.6214,0.3319,0.3521,0.3417,0.2603,0.9474,0.7784,0.3145,,,,,,0.6524,,20260830_225125,wl_frozen_ksvd_gpu_nci_full_id33_atoms512_20260830_225125_20260830_225201
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,512,LinearSVM,artifact,1,ok,0.6425,0.6667,0.6535,0.6128,0.3108,0.3662,0.3362,0.241,0.9439,0.7775,0.3083,,,,,,0.144,,20260830_225125,wl_frozen_ksvd_gpu_nci_full_id33_atoms512_20260830_225125_20260830_225201
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,512,RandomForest,artifact,1,ok,0.7209,0.6635,0.6873,0.701,0.4679,0.3427,0.3957,0.4149,0.9594,0.8214,0.3801,,,,,,0.4,,20260830_225125,wl_frozen_ksvd_gpu_nci_full_id33_atoms512_20260830_225125_20260830_225201
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,1024,LogisticRegression,artifact,1,ok,0.662,0.6888,0.6742,0.6388,0.348,0.4085,0.3758,0.2903,0.9474,0.826,0.3497,,,,,,0.7845,,20260830_225224,wl_frozen_ksvd_gpu_nci_full_id33_atoms1024_20260830_225224_20260830_225313
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,1024,GradientBoosting,artifact,1,ok,0.6563,0.6493,0.6527,0.6183,0.3399,0.3239,0.3317,0.2508,0.9494,0.7943,0.3055,,,,,,0.6913,,20260830_225224,wl_frozen_ksvd_gpu_nci_full_id33_atoms1024_20260830_225224_20260830_225313
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,1024,LinearSVM,artifact,1,ok,0.6614,0.7038,0.6797,0.6317,0.3456,0.4413,0.3876,0.2767,0.9459,0.8145,0.3627,,,,,,0.1264,,20260830_225224,wl_frozen_ksvd_gpu_nci_full_id33_atoms1024_20260830_225224_20260830_225313
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,1024,RandomForest,artifact,1,ok,0.7559,0.6586,0.6945,0.7028,0.5385,0.3286,0.4082,0.4162,0.963,0.8433,0.403,,,,,,0.42,,20260830_225224,wl_frozen_ksvd_gpu_nci_full_id33_atoms1024_20260830_225224_20260830_225313
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,2048,LogisticRegression,artifact,1,ok,0.6839,0.6563,0.6688,0.6391,0.3944,0.3333,0.3613,0.2907,0.9543,0.8303,0.3391,,,,,,0.8396,,20260830_225526,wl_frozen_ksvd_gpu_nci_full_id33_atoms2048_20260830_225526_20260830_225647
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,2048,GradientBoosting,artifact,1,ok,0.6152,0.6985,0.6429,0.6158,0.2533,0.4507,0.3243,0.2473,0.9272,0.7779,0.3025,,,,,,0.6071,,20260830_225526,wl_frozen_ksvd_gpu_nci_full_id33_atoms2048_20260830_225526_20260830_225647
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,2048,LinearSVM,artifact,1,ok,0.6766,0.6185,0.641,0.6284,0.383,0.2535,0.3051,0.2706,0.9552,0.8133,0.2894,,,,,,0.1982,,20260830_225526,wl_frozen_ksvd_gpu_nci_full_id33_atoms2048_20260830_225526_20260830_225647
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,2048,RandomForest,artifact,1,ok,0.7609,0.6883,0.718,0.7188,0.5461,0.3897,0.4548,0.4479,0.9638,0.8464,0.4433,,,,,,0.38,,20260830_225526,wl_frozen_ksvd_gpu_nci_full_id33_atoms2048_20260830_225526_20260830_225647
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,4096,LogisticRegression,artifact,1,ok,0.6606,0.6584,0.6595,0.6148,0.3476,0.3427,0.3452,0.243,0.9496,0.7975,0.3189,,,,,,0.7549,,20260830_225730,wl_frozen_ksvd_gpu_nci_full_id33_atoms4096_20260830_225730_20260830_230051
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,33,4096,GradientBoosting,artifact,1,ok,0.6415,0.6453,0.6434,0.5994,0.3105,0.3192,0.3148,0.2219,0.9461,0.7159,0.2868,,,,,,0.5935,,20260830_225730,wl_frozen_ksvd_gpu_nci_full_id33_atoms4096_20260830_225730_20260830_230051
